"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"80","RT @PasionTricolor1: ""Esta banda va a estar siempre a tu lado"" Ì†ºÌæµÌ†ºÌæ∑ Algunos Bolsos esperaron al bus del DECANO y lo alentaron en la salida de‚Ä¶",FALSE,0,NA,2018-01-31 00:34:03,FALSE,NA,"958498576895807488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ElCabeza117",8,TRUE,FALSE,NA,NA
"81","Congresswoman Convicted of Scamming Low-Income Students Pulled Up to Prison in a Limo Bus #SmartNews  https://t.co/j8XiH1cAVG",FALSE,0,NA,2018-01-31 00:34:03,FALSE,NA,"958498575675265024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricAbercrumbie",0,FALSE,FALSE,NA,NA
"82","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:34:01,FALSE,NA,"958498570583400450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","0Viva_La_Vivi0",804,TRUE,FALSE,NA,NA
"83","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:01,FALSE,NA,"958498570214178816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marcoBymarc0",18815,TRUE,FALSE,NA,NA
"84","RT @saluckiks: Mdrrr tu vas tranquillement prendre le bus https://t.co/6Oh0RAFDrb",FALSE,0,NA,2018-01-31 00:34:01,FALSE,NA,"958498566993072129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kimbizalion",7566,TRUE,FALSE,NA,NA
"85","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:00,FALSE,NA,"958498565877370881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_franks18",18815,TRUE,FALSE,NA,NA
"86","RT @MarceloHCabrera: Siempre pensando en el bienestar de los cuencanos, y mejorar la calidad del servicio de transporte p√∫blico, hoy recorr‚Ä¶",FALSE,0,NA,2018-01-31 00:34:00,FALSE,NA,"958498565382324224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hafqxjfgt1016",275,TRUE,FALSE,NA,NA
"87","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:34:00,FALSE,NA,"958498565134921730",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bob__vi",18815,TRUE,FALSE,NA,NA
"88","@RellDMC Might as well get back on the bus",FALSE,0,"RellDMC",2018-01-31 00:33:59,FALSE,"958496251057786880","958498560206688256","35919648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heel_be_ok",0,FALSE,FALSE,NA,NA
"89","@LETROCHA_ e eu viado, vim t√£o reflexiva no bus e cheguei nessa conclus√£o",FALSE,0,"LETROCHA_",2018-01-31 00:33:59,FALSE,"958498346179747840","958498558583496706","834574413702000647","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andrrxx",0,FALSE,FALSE,NA,NA
"90","1 Bed 1 Bath - Belmont $1,700 - Renovated, 1 bed apartment in Belmont. Conveniently located near shops, restaurants‚Ä¶ https://t.co/Fqc8byA85M",FALSE,0,NA,2018-01-31 00:33:59,TRUE,NA,"958498558411509760",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","belmontpads",0,FALSE,FALSE,NA,NA
"91","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:33:59,FALSE,NA,"958498558357000192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RociiQ",804,TRUE,FALSE,NA,NA
"92","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:33:58,FALSE,NA,"958498558067396608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ditabog",804,TRUE,FALSE,NA,NA
"93","RT @JTHS_204: Congratulations @JolietWestCheer on making State! Fan bus permissions slips are due THURSDAY! @JolietWestAD https://t.co/KY7P‚Ä¶",FALSE,0,NA,2018-01-31 00:33:58,FALSE,NA,"958498554569527296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","savanadelrose",5,TRUE,FALSE,NA,NA
"94","ÔΩú[ÔºîÔºò] ‰∏≠„ÄÄÂ§Æ„ÄÄÂ∏Ç„ÄÄÂ†¥ ÔΩú
ÔΩú„Ç≥„ÉÉ„Éà„É≥„Éè„Éº„Éê„ÉºÂæ™Áí∞ÔΩú

Ê®™ÊµúÈßÖÂâç
‚ñΩ
‰∏≠Â§ÆÂ∏ÇÂ†¥ÈÄö„Çä
‚ñΩ
‰∏≠Â§ÆÂ∏ÇÂ†¥Ââç
‚ñΩ
ÊòüÈáéÁî∫ÂÖ¨ÂúíÂâç
‚ñΩ
ÔΩú[ÔºîÔºò]‰∏≠Â§ÆÂ∏ÇÂ†¥ Á•ûÂ•àÂ∑ùÂÖ¨Âúí Ê®™ÊµúÈßÖÔΩú
„Ç≥„ÉÉ„Éà„É≥„Éè„Éº„Éê„Éº
‚ñΩ
ÊòüÈáéÁî∫ÂÖ¨ÂúíÂâç
‚ñΩ
‰∏≠Â§ÆÂ∏ÇÂ†¥Ââç
‚ñΩ
‰∏≠Â§ÆÂ∏ÇÂ†¥ÈÄö„Çä
‚ñΩ
Á•ûÂ•àÂ∑ùÂÖ¨ÂúíÂâç
‚ñΩ
Ê®™ÊµúÈßÖÂâç",FALSE,0,NA,2018-01-31 00:33:57,FALSE,NA,"958498550320480257",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","Hama_Tsuru_Bus",0,FALSE,FALSE,NA,NA
"95","RT @kelseyr4wls: One time this dude on the bus was like ""hey can I get your name"" and i was like ""no."" And he was like ""hahaha okay I respe‚Ä¶",FALSE,0,NA,2018-01-31 00:33:56,FALSE,NA,"958498549293084673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","awrinklydog",13,TRUE,FALSE,NA,NA
"96","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:33:56,FALSE,NA,"958498548118638593",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","J0ONTASTIC",804,TRUE,FALSE,NA,NA
"97","RT @SweetberryTae_: Recuerdan cuando Jungkook encontr√≥ un bus con su nombre por su cumplea√±os
Estaba muy feliz y apenado...‚ô°‚ô°

#ThankYouJun‚Ä¶",FALSE,0,NA,2018-01-31 00:33:56,FALSE,NA,"958498547430719489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Romi_Tnks",692,TRUE,FALSE,NA,NA
"98","RT @ArsenalArena: Want to beat Arsenal? Easy. Just park the bus. Team selection is only a part of the problem. Wenger doesn't have any tact‚Ä¶",FALSE,0,NA,2018-01-31 00:33:54,FALSE,NA,"958498541156077570",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HarrisonKoyilla",22,TRUE,FALSE,NA,NA
"99","RT @jen_keesmaat: Gardiner Expressway rebuild the 'wrong decision,' says former chief planner. Imagine the Bus Rapid Transit we could build‚Ä¶",FALSE,0,NA,2018-01-31 00:33:53,FALSE,NA,"958498536693338112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mklaw2000",34,TRUE,FALSE,NA,NA
"100","„Äå‰ªÆÊÉ≥ÈÄöË≤®„Äç„Å®„ÄåÂÜÜÂ§©„Äç„ÅØ„ÄÅ„Å©„Åì„Åå„Å©„ÅÜÈÅï„ÅÜ„ÅÆ„ÅãÔºü",FALSE,1,NA,2018-01-31 00:33:53,FALSE,NA,"958498535380467712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","swallow_bus",0,FALSE,FALSE,NA,NA
"101","@TTChelps I would like to make a complaint bus 41E going south #9140 I came Off the bus and I saw him texting",FALSE,0,"TTChelps",2018-01-31 00:33:53,FALSE,NA,"958498533912514560","500231605","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abushu3ayb",0,FALSE,FALSE,NA,NA
"102","RT @Taxi69_Officiel: @TCL_SYTRAL @grandlyon 

Ì†ΩÌ∫®Ì†ΩÌ∫®Que s'est-il pass√© dans la t√™te de ce chauffeur de bus !!!
Conduite dangereuse. Mise en dan‚Ä¶",FALSE,0,NA,2018-01-31 00:33:50,FALSE,NA,"958498524370489344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taxi_zen",1,TRUE,FALSE,NA,NA
"103","RT @rancheroni: dad: here it is! our spooky ride around town
me: what
dad: this is what you said you wanted
me: no dad I said the ghost bus‚Ä¶",FALSE,0,NA,2018-01-31 00:33:50,FALSE,NA,"958498521430110208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DaniSipes",14,TRUE,FALSE,NA,NA
"104","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:33:49,FALSE,NA,"958498517953196032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nastygguk",804,TRUE,FALSE,NA,NA
"105","RT @mhdfnhsm: I lowkey get offended when the bus is full but the seat beside me is empty and nobody wanna seat with me ‚òπÔ∏è",FALSE,0,NA,2018-01-31 00:33:49,FALSE,NA,"958498517953126400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suppbxrt",1,TRUE,FALSE,NA,NA
"106","RT @voguemagazine: Watch what happened when @BTS_twt, the global K-pop phenomenon, boarded a party bus with Vogue and took L.A. by storm. h‚Ä¶",FALSE,0,NA,2018-01-31 00:33:48,FALSE,NA,"958498516065767424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Elizand43681712",804,TRUE,FALSE,NA,NA
"107","RT @RovielOfficial: Dating a short boy is cool oo.  Until u enter bus with im and people start telling u ""madam lap ur pikin""",FALSE,0,NA,2018-01-31 00:33:47,FALSE,NA,"958498512072855552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onabanjo_G",187,TRUE,FALSE,NA,NA
"108","didn‚Äôt even have to wait for the bus! 
It‚Äôs gonna be a good day ‚ò∫Ô∏è",FALSE,0,NA,2018-01-31 00:33:44,FALSE,NA,"958498497250013184",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diyanarahim96",0,FALSE,FALSE,NA,NA
"109","RT @Cechque: Mkhitaryan benched makes sense.
Wenger will slowly draft him in the first team.
He will be shocked to see our players attackin‚Ä¶",FALSE,0,NA,2018-01-31 00:33:43,FALSE,NA,"958498494766960640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danishyulhaq",332,TRUE,FALSE,NA,NA
"110","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:33:42,FALSE,NA,"958498490828640256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theboyjemaze",18815,TRUE,FALSE,NA,NA
"111","RT @collegeprobIem: i am a:
‚ö™man
‚ö™woman
Ì†ΩÌ¥òcollege student 

seeking:
‚ö™men
‚ö™women
Ì†ΩÌ¥òto be hit by campus shuttle bus",FALSE,0,NA,2018-01-31 00:33:42,FALSE,NA,"958498490451185665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StephonBriganti",18815,TRUE,FALSE,NA,NA
"112","@BrianFromWork @BeZo @Grizzsito Will never forget the BK stop on our 14 hour long bus ride to Columbus and they tri‚Ä¶ https://t.co/el9FAX32y3",FALSE,0,"BrianFromWork",2018-01-31 00:33:42,TRUE,"958497852824702976","958498488526036992","248805978","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpaceLy",0,FALSE,FALSE,NA,NA
"113","LCC bus stop is 7362946284 As, 5 62s, and one 40 before the 42 shows up",FALSE,0,NA,2018-01-31 00:33:42,FALSE,NA,"958498487334612992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akio_tobikura",0,FALSE,FALSE,NA,NA
"114","Greyhound bus #8
Ì†ΩÌ±ãÌ†ºÌøº Airlie Beach Ì†ºÌøñ
Ì†ΩÌ≥çTownsville ‚òÄÔ∏è 
Ì†ΩÌ¥úMagnetic Island Ì†ºÌº¥",FALSE,0,NA,2018-01-31 00:33:41,FALSE,NA,"958498486651113473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SheridanPilling",0,FALSE,FALSE,NA,NA
"115","@britbeee GIRL SAME!!! I watched that on the bus to Lubbock and literally said the same thing Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,0,"britbeee",2018-01-31 00:33:41,FALSE,"958245278036975616","958498484780519425","458945835","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smajstrla_m",0,FALSE,FALSE,NA,NA
"116","ATTI: #ML04Orange Bus 154 on the Orange Line is at the Mountaineer Mall arriving at Senior Mons: 1/30/2018 7:33:36 PM #SMI",FALSE,0,NA,2018-01-31 00:33:41,FALSE,NA,"958498483195006976",NA,"<a href=""http://tweetymail.com"" rel=""nofollow"">tweetymail</a>","ML04orange",0,FALSE,FALSE,NA,NA
"117","RT @ScottPresler: No, she's not bringing an American as her guest.

Democrats give illegal aliens priority seating. Move to the back of the‚Ä¶",FALSE,0,NA,2018-01-31 00:33:38,FALSE,NA,"958498474382823424",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","JonathanGalt1",303,TRUE,FALSE,NA,NA
"118","Me molesta montarme en un bus y decir ""buenas"" ""buenos d√≠as"" ""buenas tardes"" idk y que nadie se digne a decirme algo, nwbn",FALSE,4,NA,2018-01-31 00:33:38,FALSE,NA,"958498470922473472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tellmesophi",0,FALSE,FALSE,NA,NA
